example_id,split
10712402,train
10872941,train
10035395,train
10278655,train
10448612,train
10805805,train
10327513,train
10271116,train
10282417,train
10249516,train
10789630,train
10068599,train
10343296,train
10162506,train
10055594,train
10125185,train
10103313,train
10003026,train
10043390,train
10231407,train
10120886,train
10083006,train
10222700,train
10285325,train
10170902,train
10164090,train
10306398,train
10808678,train
10313147,train
10454771,train
10303394,train
10320260,train
10294185,train
10321205,train
10169658,train
10176190,train
10351424,train
10040043,train
10348109,train
10269332,train
10710662,train
10177736,train
10024376,train
10242191,train
10285209,train
10057484,train
10186062,train
10810362,train
10324342,train
10679765,train
10764198,train
10356998,train
10136552,train
10407905,train
10291732,train
10177849,train
10570153,train
10294100,train
10244059,train
10439585,train
10039491,train
10075207,train
10173615,train
10645089,train
10829581,train
10768005,train
10079275,train
10296739,train
10721827,train
10182748,train
10209995,train
10306738,train
10164269,train
10289576,train
10136613,train
10241643,train
10533023,train
10254693,train
10259056,train
10721711,train
10588659,train
10033463,train
10380880,train
10161345,train
10190259,train
10225416,train
10094202,train
10260199,train
10342923,train
10017925,train
10132439,train
10046314,train
10409100,train
10244522,train
10310280,train
10719708,train
10203900,train
10079312,train
10213142,train
10113049,train
10321806,train
10190368,train
10063127,train
10624221,train
10241346,train
10258216,train
10298460,train
10051331,train
10206600,train
10310531,train
10801185,train
10282585,train
10111841,train
10245911,train
10439701,train
10322698,train
10290289,train
10355711,train
10215022,train
10456984,train
10445997,train
10238634,train
10398522,train
10369463,train
10256403,train
10019980,train
10385976,train
10150648,train
10077556,train
10299797,train
10182807,train
10125134,train
10201434,train
10525317,train
10429477,train
10129820,train
10744755,train
10360200,train
10022599,train
10456284,train
10280430,train
10535578,train
10645616,train
10134875,train
10351608,train
10300725,train
10828094,train
10359260,train
10246237,train
10156278,train
10134449,train
10198187,train
10619558,train
10165042,train
10195134,train
10071900,train
10771218,train
10237832,train
10080140,train
10086719,train
10448813,train
10613185,train
10135171,train
10793952,train
10318951,train
10244544,train
10342705,train
10446819,train
10354982,train
10136597,train
10257302,train
10768830,train
10186134,train
10357997,train
10249648,train
10096138,train
10242702,train
10695814,train
10260888,train
10506667,train
10108738,train
10189958,train
10885696,train
10286363,train
10252265,train
10043092,train
10261494,train
10340281,train
10639923,train
10626900,train
10282636,train
10225887,train
10333181,train
10125805,train
10087164,train
10313060,train
10233796,train
10423968,train
10101384,train
10343934,train
10298337,train
10308994,train
10090900,train
10760743,train
10883407,train
10216722,train
10109543,train
10812609,train
10155628,train
10254315,train
10116314,train
10263969,train
10311859,train
10297446,train
10147883,train
10280753,train
10745899,train
10043475,train
10288536,train
10405579,train
10109149,train
10413322,train
10140118,train
10097362,train
10043462,train
10505115,train
10288543,train
10346942,train
10197115,train
10300530,train
10657383,train
10153677,train
10398139,train
10212676,train
10216260,train
10853648,train
10126307,train
10304053,train
10044954,train
10119218,train
10064359,train
10763562,train
10408588,train
10746324,train
10074958,train
10121376,train
10798879,train
10348914,train
10104659,train
10668563,train
10133909,train
10468508,train
10456329,train
10115768,train
10132898,train
10320449,train
10850613,train
10152640,train
10681369,train
10390540,train
10217996,train
10291422,train
10365530,train
10256742,train
10191360,train
10256415,train
10436360,train
10047554,train
10017386,train
10271700,train
10346042,train
10170182,train
10292776,train
10286692,train
10007408,train
10041499,train
10358000,train
10314608,train
10303034,train
10068766,train
10040487,train
10709549,train
10258826,train
10690960,train
10034499,train
10814922,train
10075426,train
10189477,train
10189890,train
10271274,train
10085794,train
10242446,train
10056201,train
10242522,train
10056405,train
10488770,train
10653982,train
10809446,train
10238903,train
10261969,train
10039682,train
10671965,train
10212871,train
10351603,train
10330027,train
10295814,train
10081528,train
10343672,train
10706226,train
10486828,train
10453488,train
10312078,train
10305504,train
10254130,train
10626355,train
10681641,train
10031992,train
10735669,train
10446357,train
10283321,train
10069596,train
10000894,train
10345564,train
10830021,train
10182770,train
10087957,train
10203305,train
10176860,train
10294357,train
10613821,train
10199466,train
10342587,train
10307996,train
10567400,train
10310149,train
10009799,train
10140874,train
10506513,train
10620545,train
10001677,train
10025954,train
10536340,train
10854613,train
10095902,train
10054040,train
10144895,train
10447911,train
10106625,train
10760518,train
10319901,train
10189909,train
10261058,train
10261386,train
10296692,train
10221960,train
10188895,train
10358482,train
10415387,train
10386614,train
10383083,train
10084414,train
10870247,train
10009434,train
10211803,train
10715616,train
10313984,train
10324846,train
10262005,train
10067142,train
10597189,train
10865987,train
10197306,train
10092675,train
10109201,train
10382650,train
10356101,train
10062866,train
10883178,train
10097613,train
10161609,train
10621212,train
10472272,train
10174834,train
10054284,train
10205497,train
10426204,train
10310778,train
10133573,train
10228856,train
10717438,train
10278846,train
10165711,train
10687909,train
